Link,Summary Percent,OG TS Length,Summ. TS Length,Length Ratio,Sentence Length
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,100,3259,3259,1.0,21
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,90,3259,3258,0.9996931574102486,21
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,80,3259,3258,0.9996931574102486,21
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,70,3259,3258,0.9996931574102486,21
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,60,3259,3133,0.9613378336913163,19
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,50,3259,2795,0.8576250383553237,16
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,40,3259,2326,0.7137158637618901,13
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,30,3259,1719,0.5274624117827554,9
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,20,3259,1208,0.37066584841976064,6
https://www.rev.com/blog/transcripts/explosive-report-suggests-congressman-elect-george-santos-lied-about-background-transcript,10,3259,727,0.2230745627493096,3
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,100,9077,9077,1.0,101
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,90,9077,9093,1.0017626969262972,101
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,80,9077,8979,0.9892034813264294,97
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,70,9077,8628,0.9505343175057839,85
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,60,9077,8090,0.8912636333590394,73
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,50,9077,7388,0.8139253057177481,61
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,40,9077,6156,0.6781976423928611,48
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,30,9077,5076,0.5592155998677978,36
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,20,9077,3754,0.4135727663324887,24
https://www.rev.com/blog/transcripts/raphael-warnock-full-victory-speech-transcript,10,9077,2177,0.2398369505343175,12
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,100,2319,2319,1.0,19
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,90,2319,2319,1.0,19
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,80,2319,2319,1.0,19
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,70,2319,2319,1.0,19
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,60,2319,2233,0.9629150495903407,16
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,50,2319,2118,0.9133247089262613,14
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,40,2319,1969,0.8490728762397585,11
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,30,2319,1569,0.6765847347994826,8
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,20,2319,1023,0.4411384217335058,5
https://www.rev.com/blog/transcripts/warnock-wins-reelection-in-georgia-transcript,10,2319,281,0.12117291936179388,2
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,100,1750,1750,1.0,16
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,90,1750,1750,1.0,16
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,80,1750,1744,0.9965714285714286,15
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,70,1750,1571,0.8977142857142857,13
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,60,1750,1422,0.8125714285714286,11
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,50,1750,1167,0.6668571428571428,9
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,40,1750,864,0.4937142857142857,7
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,30,1750,665,0.38,5
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,20,1750,439,0.25085714285714283,3
https://www.rev.com/blog/transcripts/republicans-win-majority-of-seats-in-u-s-house-transcript,10,1750,179,0.10228571428571429,1
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,100,6052,6052,1.0,58
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,90,6052,6016,0.9940515532055518,54
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,80,6052,5962,0.9851288830138797,48
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,70,6052,5748,0.9497686715135493,42
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,60,6052,5297,0.8752478519497686,36
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,50,6052,4581,0.7569398545935228,30
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,40,6052,3914,0.6467283542630535,24
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,30,6052,3051,0.5041308658294779,18
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,20,6052,2169,0.358393919365499,12
https://www.rev.com/blog/transcripts/katie-hobbs-delivers-victory-remarks-after-ap-calls-the-race-in-her-favor-transcript,10,6052,1152,0.19035029742233972,6
https://www.rev.com/blog/transcripts/katie-hobbs-defeats-kari-lake-to-win-arizona-governors-race-transcript,100,2230,2230,1.0,18
https://www.rev.com/blog/transcripts/katie-hobbs-defeats-kari-lake-to-win-arizona-governors-race-transcript,90,2230,2229,0.9995515695067264,18
https://www.rev.com/blog/transcripts/katie-hobbs-defeats-kari-lake-to-win-arizona-governors-race-transcript,80,2230,2147,0.962780269058296,17
https://www.rev.com/blog/transcripts/katie-hobbs-defeats-kari-lake-to-win-arizona-governors-race-transcript,70,2230,2068,0.9273542600896861,15
https://www.rev.com/blog/transcripts/katie-hobbs-defeats-kari-lake-to-win-arizona-governors-race-transcript,60,2230,1872,0.8394618834080717,13
